레포지토리,태그,릴리스명,생성일,배포일,생성일(ISO),배포일(ISO),배포년도,배포월,배포일,요일(0-6),주말여부,초안여부,프리릴리스여부,릴리스노트 길이,릴리스노트 존재여부,생성일로부터 배포까지 일수
daangn/stackflow,@stackflow/react@1.4.1,@stackflow/react@1.4.1,10/23/2024,10/23/2024,2024-10-23T05:42:14.000Z,2024-10-23T05:42:16.000Z,2024,10,23,3,false,false,false,115,true,0
daangn/stackflow,@stackflow/react@1.4.0,@stackflow/react@1.4.0,9/26/2024,9/26/2024,2024-09-26T06:24:47.000Z,2024-09-26T06:24:57.000Z,2024,9,26,4,false,false,false,121,true,0
daangn/stackflow,@stackflow/plugin-preload@1.4.3,@stackflow/plugin-preload@1.4.3,9/26/2024,9/26/2024,2024-09-26T06:24:47.000Z,2024-09-26T06:25:00.000Z,2024,9,26,4,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.7.0,@stackflow/plugin-history-sync@1.7.0,9/26/2024,9/26/2024,2024-09-26T06:24:47.000Z,2024-09-26T06:24:51.000Z,2024,9,26,4,false,false,false,162,true,0
daangn/stackflow,@stackflow/link@1.5.0,@stackflow/link@1.5.0,9/26/2024,9/26/2024,2024-09-26T06:24:47.000Z,2024-09-26T06:24:54.000Z,2024,9,26,4,false,false,false,121,true,0
daangn/stackflow,@stackflow/config@1.2.0,@stackflow/config@1.2.0,9/26/2024,9/26/2024,2024-09-26T06:24:47.000Z,2024-09-26T06:24:48.000Z,2024,9,26,4,false,false,false,121,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.10.0,@stackflow/plugin-basic-ui@1.10.0,9/11/2024,9/11/2024,2024-09-11T07:08:35.000Z,2024-09-11T07:08:36.000Z,2024,9,11,3,false,false,false,103,true,0
daangn/stackflow,@stackflow/react@1.3.2,@stackflow/react@1.3.2,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:29:01.000Z,2024,9,3,2,false,false,false,233,true,0
daangn/stackflow,@stackflow/react-ui-core@1.1.2,@stackflow/react-ui-core@1.1.2,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:55.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.13,@stackflow/plugin-renderer-web@1.1.13,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:57.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.13,@stackflow/plugin-renderer-basic@1.1.13,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:52.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-preload@1.4.2,@stackflow/plugin-preload@1.4.2,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:48.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.11,@stackflow/plugin-map-initial-activity@1.0.11,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:46.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.15,@stackflow/plugin-google-analytics-4@1.1.15,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:42.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.2,@stackflow/plugin-basic-ui@1.9.2,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:39.000Z,2024,9,3,2,false,false,false,54,true,0
daangn/stackflow,@stackflow/link@1.4.5,@stackflow/link@1.4.5,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:36.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/compat-await-push@1.1.13,@stackflow/compat-await-push@1.1.13,9/3/2024,9/3/2024,2024-09-03T05:28:32.000Z,2024-09-03T05:28:34.000Z,2024,9,3,2,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.6.3,@stackflow/plugin-history-sync@1.6.3,8/21/2024,8/21/2024,2024-08-21T06:44:28.000Z,2024-08-21T06:44:29.000Z,2024,8,21,3,false,false,false,105,true,0
daangn/stackflow,@stackflow/react@1.3.1,@stackflow/react@1.3.1,8/14/2024,8/14/2024,2024-08-14T06:44:05.000Z,2024-08-14T06:44:07.000Z,2024,8,14,3,false,false,false,83,true,0
daangn/stackflow,@stackflow/react@1.3.0,@stackflow/react@1.3.0,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:17.000Z,2024,8,14,3,false,false,false,170,true,0
daangn/stackflow,@stackflow/react-ui-core@1.1.1,@stackflow/react-ui-core@1.1.1,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:11.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.5,@stackflow/plugin-stack-depth-change@1.1.5,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:14.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.12,@stackflow/plugin-renderer-web@1.1.12,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:08.000Z,2024,8,14,3,false,false,false,1,true,0
