레포지토리,총 릴리스 수,총 다운로드 수,릴리스당 평균 다운로드 수,총 에셋 수,릴리스당 평균 에셋 수,첫 릴리스 날짜,최신 릴리스 날짜,프리릴리스 수,초안 수,연간 평균 릴리스 수,주간 평균 릴리스 수,일간 평균 릴리스 수,올해 총 릴리스 수,이번 주 총 릴리스 수,오늘 총 릴리스 수,작년 총 릴리스 수,지난 6개월 총 릴리스 수,지난 3개월 총 릴리스 수,지난 1개월 총 릴리스 수
daangn/stackflow,159,0,0,0,0,12/1/2023,5/29/2025,0,0,106.49,2.04,0.29,20,0,0,90,13,6,5
daangn/seed-design,329,0,0,0,0,10/15/2021,6/2/2025,25,0,90.56,1.74,0.25,275,10,10,0,56,126,83
